2016 Carbon Footprint - Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jan-16,,Feb-16,,Mar-16,,Apr-16,,May-16,,Jun-16,,Jul-16,,Aug-16,,Sep-16,,Oct-16,,Nov-16,,Dec-16,,Total 2016,
Location,Account Number,City,Sq Ft,Sq Mtr,Vendor,KWH,Cost,KWH,Cost,KWH,Cost,KWH,Cost,KWH,Cost,KWH,Cost,KWH,Cost,KWH,Cost,KWH,Cost,KWH,Cost,KWH,Cost,KWH,Cost,KWH,Cost
BuildingA,4800,NY,"22,209","2,063",Comed,13439,"$1,438",14929,"$1,570",15506,"$1,707",17434,"$2,057",17007,"$2,015",16556,"$1,797",17167,"$1,795",18831,"$2,040",16550,"$1,740",17598,"$1,853",17265,"$1,988",19268,"$1,931","201,550","$21,931"
Building B,17,NY,"6,890",640,Comed,13843,"$1,388",13761,"$1,389",12363,"$1,270",13535,"$1,500",12736,"$1,426",12733,"$1,294",12783,"$1,250",14287,"$1,451",11995,"$1,172",12768,"$1,250",12502,"$1,422",14648,"$1,364","157,954","$16,176"
Building C,798,NY,"25,950","2,411",Comed,14611,"$1,559",15768,"$1,683",13694,"$1,501",12934,"$1,547",13780,"$1,637",14221,"$1,544",14042,"$1,475",15013,"$1,631",14722,"$1,239",13617,"$1,454",15527,"$1,744",15693,"$1,578","173,622","$18,592"
Building D,4801,NY,,,Comed,8008,"$1,131",9164,"$1,310",8508,"$1,306",8834,"$1,390",8805,"$1,394",8556,"$1,256",8853,"$1,233",9339,"$1,327",6464,"$1,174",8881,"$1,280",8704,"$1,994",9677,"$1,176","103,793","$15,971"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,